"ZIP","ReportingYear","ZIPType","CityName","StateName","StateAbbr","ENC_ZIP","ZCTA_USE"
"00767","2015","ZIP Code Area","Yabucoa",,"PR","00767","00767"
"00769","2015","ZIP Code Area","Coamo",,"PR","00769","00769"
"00771","2015","ZIP Code Area","Las Piedras",,"PR","00771","00771"
"00772","2015","ZIP Code Area","Loiza",,"PR","00772","00772"
"00773","2015","ZIP Code Area","Luquillo",,"PR","00773","00773"
"00775","2015","ZIP Code Area","Culebra",,"PR","00775","00775"
"00777","2015","ZIP Code Area","Juncos",,"PR","00777","00777"
"00778","2015","ZIP Code Area","Gurabo",,"PR","00778","00778"
"00780","2015","ZIP Code Area","Coto Laurel",,"PR","00780","00780"
"00782","2015","ZIP Code Area","Comerio",,"PR","00782","00782"
"00783","2015","ZIP Code Area","Corozal",,"PR","00783","00783"
"00784","2015","ZIP Code Area","Guayama",,"PR","00784","00784"
"00785","2015","Post Office or large volume customer","Guayama",,"PR","00784","00784"
"00786","2015","Post Office or large volume customer","La Plata",,"PR","00705","00786"
"00791","2015","ZIP Code Area","Humacao",,"PR","00791","00791"
"00792","2015","Post Office or large volume customer","Humacao",,"PR","00791","00791"
"00794","2015","ZIP Code Area","Barranquitas",,"PR","00794","00794"
"00795","2015","ZIP Code Area","Juana Diaz",,"PR","00795","00795"
"00801","2015","Post Office or large volume customer","St Thomas",,"VI","00802","00801"
"00802","2015","ZIP Code Area","St Thomas",,"VI","00802","00802"
"00803","2015","Post Office or large volume customer","St Thomas",,"VI","00802","00802"
"00804","2015","Post Office or large volume customer","St Thomas",,"VI","00802","00802"
"00805","2015","Post Office or large volume customer","St Thomas",,"VI","00802","00802"
"00820","2015","ZIP Code Area","Christiansted",,"VI","00820","00820"
"00821","2015","Post Office or large volume customer","Christiansted",,"VI","00820","00820"
"00822","2015","Post Office or large volume customer","Christiansted",,"VI","00820","00820"
"00823","2015","Post Office or large volume customer","Christiansted",,"VI","00820","00823"
"00824","2015","Post Office or large volume customer","Christiansted",,"VI","00820","00824"
"00830","2015","ZIP Code Area","St John",,"VI","00830","00830"
"00831","2015","Post Office or large volume customer","St John",,"VI","00830","00831"
"00840","2015","ZIP Code Area","Frederiksted",,"VI","00840","00840"
"00841","2015","Post Office or large volume customer","Frederiksted",,"VI","00840","00841"
"00850","2015","ZIP Code Area","Kingshill",,"VI","00850","00850"
"00851","2015","Post Office or large volume customer","Kingshill",,"VI","00850","00851"
"00901","2015","ZIP Code Area","San Juan",,"PR","00901","00901"
"00902","2015","Post Office or large volume customer","San Juan",,"PR","00901","00901"
"00906","2015","Post Office or large volume customer","San Juan",,"PR","00901","00906"
"00907","2015","ZIP Code Area","San Juan",,"PR","00907","00907"
"00908","2015","Post Office or large volume customer","San Juan",,"PR","00907","00907"
"00909","2015","ZIP Code Area","San Juan",,"PR","00909","00909"
"00910","2015","Post Office or large volume customer","San Juan",,"PR","00909","00909"
"00911","2015","ZIP Code Area","San Juan",,"PR","00911","00911"
"00912","2015","ZIP Code Area","San Juan",,"PR","00912","00912"
"00913","2015","ZIP Code Area","San Juan",,"PR","00913","00913"
"00914","2015","Post Office or large volume customer","San Juan",,"PR","00911","00911"
"00915","2015","ZIP Code Area","San Juan",,"PR","00915","00915"
"00916","2015","Post Office or large volume customer","San Juan",,"PR","00915","00915"
"00917","2015","ZIP Code Area","San Juan",,"PR","00917","00917"
"00918","2015","ZIP Code Area","San Juan",,"PR","00918","00918"
"00919","2015","Post Office or large volume customer","San Juan",,"PR","00918","00918"
"00920","2015","ZIP Code Area","San Juan",,"PR","00920","00920"
"00921","2015","ZIP Code Area","San Juan",,"PR","00921","00921"
"00922","2015","Post Office or large volume customer","San Juan",,"PR","00968","00968"
"00923","2015","ZIP Code Area","San Juan",,"PR","00923","00923"
"00924","2015","ZIP Code Area","San Juan",,"PR","00924","00924"
"00925","2015","ZIP Code Area","San Juan",,"PR","00925","00925"
"00926","2015","ZIP Code Area","San Juan",,"PR","00926","00926"
"00927","2015","ZIP Code Area","San Juan",,"PR","00927","00927"
"00928","2015","Post Office or large volume customer","San Juan",,"PR","00925","00925"
"00929","2015","Post Office or large volume customer","San Juan",,"PR","00924","00924"
"00930","2015","Post Office or large volume customer","San Juan",,"PR","00923","00923"
"00931","2015","Post Office or large volume customer","San Juan",,"PR","00925","00925"
"00933","2015","Post Office or large volume customer","San Juan",,"PR","00918","00918"
"00934","2015","ZIP Code Area","Fort Buchanan",,"PR","00934","00934"
"00935","2015","Post Office or large volume customer","San Juan",,"PR","00921","00921"
"00936","2015","Post Office or large volume customer","San Juan",,"PR","00918","00936"
"00937","2015","Post Office or large volume customer","San Juan",,"PR","00979","00979"
"00939","2015","Post Office or large volume customer","San Juan",,"PR","00918","00918"
"00940","2015","Post Office or large volume customer","San Juan",,"PR","00909","00909"
"00949","2015","ZIP Code Area","Toa Baja",,"PR","00949","00949"
"00950","2015","Post Office or large volume customer","Toa Baja",,"PR","00953","00950"
"00951","2015","Post Office or large volume customer","Toa Baja",,"PR","00953","00951"
"00952","2015","ZIP Code Area","Sabana Seca",,"PR","00952","00952"
"00953","2015","ZIP Code Area","Toa Alta",,"PR","00953","00953"
"00954","2015","Post Office or large volume customer","Toa Alta",,"PR","00953","00953"
"00955","2015","Post Office or large volume customer","San Juan",,"PR","00921","00921"
"00956","2015","ZIP Code Area","Bayamon",,"PR","00956","00956"
"00957","2015","ZIP Code Area","Bayamon",,"PR","00957","00957"
"00958","2015","Post Office or large volume customer","Bayamon",,"PR","00957","00957"
"00959","2015","ZIP Code Area","Bayamon",,"PR","00959","00959"
"00960","2015","Post Office or large volume customer","Bayamon",,"PR","00959","00960"
"00961","2015","ZIP Code Area","Bayamon",,"PR","00961","00961"
"00962","2015","ZIP Code Area","Catano",,"PR","00962","00962"
"00963","2015","Post Office or large volume customer","Catano",,"PR","00962","00962"
"00965","2015","ZIP Code Area","Guaynabo",,"PR","00965","00965"
"00966","2015","ZIP Code Area","Guaynabo",,"PR","00966","00966"
"00968","2015","ZIP Code Area","Guaynabo",,"PR","00968","00968"
"00969","2015","ZIP Code Area","Guaynabo",,"PR","00969","00969"
"00970","2015","Post Office or large volume customer","Guaynabo",,"PR","00969","00969"
"00971","2015","Post Office or large volume customer","Guaynabo",,"PR","00969","00971"
"00975","2015","Post Office or large volume customer","San Juan",,"PR","00917","00917"
"00976","2015","ZIP Code Area","Trujillo Alto",,"PR","00976","00976"
"00977","2015","Post Office or large volume customer","Trujillo Alto",,"PR","00976","00976"
"00978","2015","Post Office or large volume customer","Saint Just",,"PR","00976","00976"
"00979","2015","ZIP Code Area","Carolina",,"PR","00979","00979"
"00981","2015","Post Office or large volume customer","Carolina",,"PR","00979","00979"
"00982","2015","ZIP Code Area","Carolina",,"PR","00982","00982"
"00983","2015","ZIP Code Area","Carolina",,"PR","00983","00983"
"00984","2015","Post Office or large volume customer","Carolina",,"PR","00983","00983"
"00985","2015","ZIP Code Area","Carolina",,"PR","00985","00985"
"00986","2015","Post Office or large volume customer","Carolina",,"PR","00985","00985"
"00987","2015","ZIP Code Area","Carolina",,"PR","00987","00987"
"00988","2015","Post Office or large volume customer","Carolina",,"PR","00982","00982"
"01001","2015","ZIP Code Area","Agawam",,"MA","01001","01001"
"01002","2015","ZIP Code Area","Amherst",,"MA","01002","01002"
"01003","2015","ZIP Code Area","Amherst",,"MA","01003","01003"
"01004","2015","Post Office or large volume customer","Amherst",,"MA","01002","01002"
"01005","2015","ZIP Code Area","Barre",,"MA","01005","01005"
"01007","2015","ZIP Code Area","Belchertown",,"MA","01007","01007"
"01008","2015","ZIP Code Area","Blandford",,"MA","01008","01008"
"01009","2015","Post Office or large volume customer","Bondsville",,"MA","01069","01009"
"01010","2015","ZIP Code Area","Brimfield",,"MA","01010","01010"
"01011","2015","ZIP Code Area","Chester",,"MA","01011","01011"
"01012","2015","ZIP Code Area","Chesterfield",,"MA","01012","01012"
"01013","2015","ZIP Code Area","Chicopee",,"MA","01013","01013"
"01014","2015","Post Office or large volume customer","Chicopee",,"MA","01013","01013"
"01020","2015","ZIP Code Area","Chicopee",,"MA","01020","01020"
"01021","2015","Post Office or large volume customer","Chicopee",,"MA","01020","01020"
"01022","2015","ZIP Code Area","Chicopee",,"MA","01022","01022"
"01026","2015","ZIP Code Area","Cummington",,"MA","01026","01026"
"01027","2015","ZIP Code Area","Easthampton",,"MA","01027","01027"
"01028","2015","ZIP Code Area","East Longmeadow",,"MA","01028","01028"
"01029","2015","Post Office or large volume customer","East Otis",,"MA","01253","01029"
"01030","2015","ZIP Code Area","Feeding Hills",,"MA","01030","01030"
"01031","2015","ZIP Code Area","Gilbertville",,"MA","01031","01031"
"01032","2015","ZIP Code Area","Goshen",,"MA","01032","01032"
"01033","2015","ZIP Code Area","Granby",,"MA","01033","01033"
"01034","2015","ZIP Code Area","Granville",,"MA","01034","01034"
"01035","2015","ZIP Code Area","Hadley",,"MA","01035","01035"
"01036","2015","ZIP Code Area","Hampden",,"MA","01036","01036"
"01037","2015","Post Office or large volume customer","Hardwick",,"MA","01031","01037"
"01038","2015","ZIP Code Area","Hatfield",,"MA","01038","01038"
"01039","2015","ZIP Code Area","Haydenville",,"MA","01039","01039"
"01040","2015","ZIP Code Area","Holyoke",,"MA","01040","01040"
"01041","2015","Post Office or large volume customer","Holyoke",,"MA","01040","01040"
"01050","2015","ZIP Code Area","Huntington",,"MA","01050","01050"
"01053","2015","ZIP Code Area","Leeds",,"MA","01053","01053"
"01054","2015","ZIP Code Area","Leverett",,"MA","01054","01054"
"01056","2015","ZIP Code Area","Ludlow",,"MA","01056","01056"
"01057","2015","ZIP Code Area","Monson",,"MA","01057","01057"
"01059","2015","Post Office or large volume customer","North Amherst",,"MA","01002","01002"
"01060","2015","ZIP Code Area","Northampton",,"MA","01060","01060"
"01061","2015","Post Office or large volume customer","Northampton",,"MA","01060","01060"
"01062","2015","ZIP Code Area","Florence",,"MA","01062","01062"
"01063","2015","ZIP Code Area","Northampton",,"MA","01063","01063"
"01066","2015","Post Office or large volume customer","North Hatfield",,"MA","01088","01066"
"01068","2015","ZIP Code Area","Oakham",,"MA","01068","01068"
"01069","2015","ZIP Code Area","Palmer",,"MA","01069","01069"
"01070","2015","ZIP Code Area","Plainfield",,"MA","01070","01070"
"01071","2015","ZIP Code Area","Russell",,"MA","01071","01071"
"01072","2015","ZIP Code Area","Shutesbury",,"MA","01072","01072"
"01073","2015","ZIP Code Area","Southampton",,"MA","01073","01073"
"01074","2015","Post Office or large volume customer","South Barre",,"MA","01005","01074"
"01075","2015","ZIP Code Area","South Hadley",,"MA","01075","01075"
"01077","2015","ZIP Code Area","Southwick",,"MA","01077","01077"
"01079","2015","Post Office or large volume customer","Thorndike",,"MA","01069","01079"
"01080","2015","ZIP Code Area","Three Rivers",,"MA","01080","01080"
"01081","2015","ZIP Code Area","Wales",,"MA","01081","01081"
"01082","2015","ZIP Code Area","Ware",,"MA","01082","01082"
"01083","2015","Post Office or large volume customer","Warren",,"MA","01585","01083"
"01084","2015","ZIP Code Area","West Chesterfield",,"MA","01084","01084"
"01085","2015","ZIP Code Area","Westfield",,"MA","01085","01085"
"01086","2015","Post Office or large volume customer","Westfield",,"MA","01085","01086"
"01088","2015","ZIP Code Area","West Hatfield",,"MA","01088","01088"
"01089","2015","ZIP Code Area","West Springfield",,"MA","01089","01089"
"01090","2015","Post Office or large volume customer","West Springfield",,"MA","01089","01089"
"01092","2015","ZIP Code Area","West Warren",,"MA","01092","01092"
"01093","2015","Post Office or large volume customer","Whately",,"MA","01039","01093"
"01094","2015","Post Office or large volume customer","Wheelwright",,"MA","01031","01094"
"01095","2015","ZIP Code Area","Wilbraham",,"MA","01095","01095"
"01096","2015","ZIP Code Area","Williamsburg",,"MA","01096","01096"
"01097","2015","Post Office or large volume customer","Woronoco",,"MA","01085","01097"
"01098","2015","ZIP Code Area","Worthington",,"MA","01098","01098"
"01101","2015","Post Office or large volume customer","Springfield",,"MA","01103","01103"
"01102","2015","Post Office or large volume customer","Springfield",,"MA","01103","01103"
"01103","2015","ZIP Code Area","Springfield",,"MA","01103","01103"
"01104","2015","ZIP Code Area","Springfield",,"MA","01104","01104"
"01105","2015","ZIP Code Area","Springfield",,"MA","01105","01105"
"01106","2015","ZIP Code Area","Longmeadow",,"MA","01106","01106"
"01107","2015","ZIP Code Area","Springfield",,"MA","01107","01107"
"01108","2015","ZIP Code Area","Springfield",,"MA","01108","01108"
"01109","2015","ZIP Code Area","Springfield",,"MA","01109","01109"
"01111","2015","Post Office or large volume customer","Springfield",,"MA","01109","01109"
"01115","2015","Post Office or large volume customer","Springfield",,"MA","01103","01103"
"01116","2015","Post Office or large volume customer","Longmeadow",,"MA","01106","01106"
"01118","2015","ZIP Code Area","Springfield",,"MA","01118","01118"
"01119","2015","ZIP Code Area","Springfield",,"MA","01119","01119"
"01128","2015","ZIP Code Area","Springfield",,"MA","01128","01128"
"01129","2015","ZIP Code Area","Springfield",,"MA","01129","01129"
"01138","2015","Post Office or large volume customer","Springfield",,"MA","01108","01108"
"01139","2015","Post Office or large volume customer","Springfield",,"MA","01109","01109"
"01144","2015","Post Office or large volume customer","Springfield",,"MA","01103","01103"
"01151","2015","ZIP Code Area","Indian Orchard",,"MA","01151","01151"
"01152","2015","Post Office or large volume customer","Springfield",,"MA","01151","01151"
"01199","2015","Post Office or large volume customer","Springfield",,"MA","01105","01199"
"01201","2015","ZIP Code Area","Pittsfield",,"MA","01201","01201"
"01202","2015","Post Office or large volume customer","Pittsfield",,"MA","01201","01201"
"01203","2015","Post Office or large volume customer","Pittsfield",,"MA","01201","01201"
"01220","2015","ZIP Code Area","Adams",,"MA","01220","01220"
"01222","2015","ZIP Code Area","Ashley Falls",,"MA","01222","01222"
"01223","2015","ZIP Code Area","Becket",,"MA","01223","01223"
